time,realised_return_pct,unrealised_return_pct,open_count,closed_count
19:48:53,0,0,0,0
19:49:53,0,0,0,0
19:50:53,0,0,0,0
19:51:53,0,0,0,0
19:52:53,0,0,0,0
19:53:53,0,0,0,0
19:54:53,0,0,0,0
19:55:53,0,0,0,0
19:56:53,0,0,0,0
19:57:53,0,0,0,0
19:58:53,0,0,0,0
19:59:53,0,0,0,0
20:00:53,0,0,0,0
20:01:53,0,0,0,0
20:02:53,0,0,0,0
20:03:53,0,0,0,0
20:04:53,0,0,0,0
20:05:53,0,0,0,0
20:06:53,0,0,0,0
20:07:53,0,0,0,0
20:08:53,0,0,0,0
20:09:53,0,0,0,0
20:10:53,0,0,0,0
20:11:53,0,0,0,0
20:12:53,0,0,0,0
20:13:53,0,0,0,0
20:14:53,0,0,0,0
20:15:53,0,0,0,0
20:16:53,0,0,0,0
20:17:53,0,0,0,0
20:18:53,0,0,0,0
20:19:53,0,0,0,0
20:20:53,0,0,0,0
20:21:53,0,0,0,0
20:22:53,0,0,0,0
20:23:53,0,0,0,0
20:24:53,0,0,0,0
20:25:53,0,0,0,0
20:26:53,0,0,0,0
20:27:53,0,0,0,0
20:28:53,0,0,0,0
20:29:53,0,0,0,0
20:30:53,0,0,0,0
20:31:53,0,0,0,0
20:32:53,0,0,0,0
20:33:53,0,0,0,0
20:34:53,0,0,0,0
20:35:53,0,0,0,0
20:36:53,0,0,0,0
20:37:53,0,0,0,0
20:38:53,0,0,0,0
20:39:53,0,0,0,0
20:40:53,0,0,0,0
20:41:53,0,0,0,0
20:42:53,0,0,0,0
20:43:53,0,0,0,0
20:44:53,0,0,0,0
20:45:54,0,0,0,0
20:46:54,0,0,0,0
20:47:54,0,0,0,0
20:48:54,0,0,0,0
20:49:54,0,0,0,0
20:50:54,0,0,0,0
20:51:54,0,0,0,0
20:52:54,0,0,0,0
20:53:54,0,0,0,0
20:54:54,0,0,0,0
20:55:54,0,0,0,0
20:56:54,0,0,0,0
20:57:54,0,0,0,0
20:58:54,0,0,0,0
20:59:54,0,0,0,0
21:00:54,0,0,0,0
21:01:54,0,0,0,0
21:02:54,0,0,0,0
21:03:54,0,0,0,0
21:04:54,0,0,0,0
21:05:54,0,0,0,0
21:06:54,0,0,0,0
21:07:54,0,0,0,0
21:08:54,0,0,0,0
21:09:54,0,0,0,0
21:10:54,0,0,0,0
21:11:54,0,0,0,0
21:12:54,0,0,0,0
21:13:54,0,0,0,0
21:14:54,0,0,0,0
21:15:54,0,0,0,0
21:16:54,0,0,0,0
21:17:54,0,0,0,0
21:18:54,0,0,0,0
21:19:54,0,0,0,0
21:20:54,0,0,0,0
21:21:54,0,0,0,0
21:22:54,0,0,0,0
21:23:54,0,0,0,0
21:24:54,0,0,0,0
21:25:54,0,0,0,0
21:26:54,0,0,0,0
21:27:54,0,0,0,0
21:28:54,0,0,0,0
21:29:54,0,0,0,0
21:30:54,0,0,0,0
21:31:54,0,0,0,0
21:32:54,0,0,0,0
21:33:54,0,0,0,0
21:34:54,0,0,0,0
21:35:54,0,0,0,0
22:36:17,0,0,0,0
22:37:17,0,0,0,0
22:38:17,0,0,0,0
22:39:17,0,0,0,0
22:40:17,0,0,0,0
22:41:17,0,0,0,0
22:42:17,0,0,0,0
22:43:17,0,0,0,0
22:44:17,0,0,0,0
22:45:17,0,0,0,0
22:46:17,0,0,0,0
22:47:17,0,0,0,0
22:48:17,0,0,0,0
22:49:17,0,0,0,0
22:50:17,0,0,0,0
22:51:17,0,0,0,0
22:52:17,0,0,0,0
22:53:17,0,0,0,0
22:54:17,0,0,0,0
