ticker,bar,observed_at,age_s,volume,close
DFLI,2026-08-05 09:30:02-04:00,2026-08-05 09:31:37.739685-04:00,35.739685,0.0,1.149999976158142
DXST,2026-08-05 09:30:00-04:00,2026-08-05 09:31:37.739685-04:00,37.739685,0.0,2.466399908065796
DXST,2026-08-05 09:31:00-04:00,2026-08-05 09:31:37.739685-04:00,-22.260315,0.0,2.390000104904175
BAK,2026-08-05 09:30:09-04:00,2026-08-05 09:31:37.739685-04:00,28.739685,0.0,2.299999952316284
CAST,2026-08-05 09:30:00-04:00,2026-08-05 09:31:37.739685-04:00,37.739685,0.0,1.25
CAST,2026-08-05 09:31:00-04:00,2026-08-05 09:31:37.739685-04:00,-22.260315,0.0,1.2200000286102295
GDC,2026-08-05 09:30:10-04:00,2026-08-05 09:31:37.739685-04:00,27.739685,0.0,1.7549999952316284
ZJYL,2026-08-05 09:30:00-04:00,2026-08-05 09:31:37.739685-04:00,37.739685,0.0,2.2249999046325684
ZJYL,2026-08-05 09:31:00-04:00,2026-08-05 09:31:37.739685-04:00,-22.260315,0.0,2.2200000286102295
JAGX,2026-08-05 09:30:28-04:00,2026-08-05 09:31:37.739685-04:00,9.739685,0.0,1.0463000535964966
NXTS,2026-08-05 09:30:01-04:00,2026-08-05 09:31:37.739685-04:00,36.739685,0.0,2.109999895095825
PNBK,2026-08-05 09:30:51-04:00,2026-08-05 09:31:37.739685-04:00,-13.260315,0.0,1.1401000022888184
KMRK,2026-08-05 09:30:01-04:00,2026-08-05 09:31:37.739685-04:00,36.739685,0.0,1.2000000476837158
NEOV,2026-08-05 09:30:00-04:00,2026-08-05 09:31:37.739685-04:00,37.739685,0.0,2.6449999809265137
NEOV,2026-08-05 09:31:00-04:00,2026-08-05 09:31:37.739685-04:00,-22.260315,0.0,2.7200000286102295
ANNA,2026-08-05 09:30:51-04:00,2026-08-05 09:31:37.739685-04:00,-13.260315,0.0,2.5
AIMD,2026-08-05 09:30:01-04:00,2026-08-05 09:31:37.739685-04:00,36.739685,0.0,1.3600000143051147
CNET,2026-08-05 09:30:47-04:00,2026-08-05 09:31:37.739685-04:00,-9.260315,0.0,1.5599000453948975
